date,open,high,low,close,volume,SMA_short,SMA_long,RSI,Signal
2021-12-29,15952.4697265625,15955.0302734375,15803.58984375,15852.25,34973900,15665.242607421875,15646.861783854167,55.48881341694683,0
2021-12-30,15837.5595703125,15890.740234375,15834.5703125,15884.8603515625,32456600,15665.8303125,15648.742786458333,56.298208028175836,0
2022-01-03,15947.4404296875,16069.3798828125,15943.16015625,16020.73046875,56865800,15666.66251953125,15651.329856770833,59.59491477144609,0
2022-01-04,16069.7998046875,16202.580078125,16036.51953125,16152.6103515625,75187400,15668.41421875,15654.39458984375,62.54812221574391,0
2022-01-05,16177.4404296875,16285.349609375,16161.7197265625,16271.75,68244500,15671.8744140625,15658.358587239583,65.03446257757679,0
2022-01-06,16076.16015625,16156.5595703125,15988.6298828125,16052.0302734375,75756700,15673.17521484375,15661.101458333333,57.45848666698319,0
2022-01-07,15999.01953125,16044.2802734375,15862.7099609375,15947.740234375,74469300,15672.992919921875,15663.545462239583,54.229339713555916,0
2022-01-10,16006.4404296875,16015.33984375,15724.23046875,15768.26953125,82834300,15673.01751953125,15664.859127604166,49.11400140067081,0
2022-01-11,15918.8203125,15979.990234375,15880.3896484375,15941.8095703125,74622100,15674.35521484375,15666.516061197917,53.66531795267503,0
2022-01-12,16054.9296875,16061.5,15955.5400390625,16010.3203125,69357000,15675.930517578125,15668.760598958334,55.36270270542486,0
2022-01-13,15959.830078125,16090.2900390625,15941.7802734375,16031.58984375,72976100,15677.187919921875,15670.774401041666,55.90279637794073,0
2022-01-14,15929.3701171875,15970.7001953125,15833.73046875,15883.240234375,80457700,15677.413720703125,15671.925533854166,51.24543876864058,0
2022-01-17,15948.900390625,15962.7001953125,15894.76953125,15933.7197265625,46576400,15678.814716796875,15673.29919921875,52.68979441031865,0
2022-01-18,15839.150390625,15843.580078125,15669.349609375,15772.5595703125,70557600,15678.0228125,15675.462662760418,47.81913266223119,0
2022-01-19,15639.4501953125,15898.0498046875,15629.8603515625,15809.7197265625,74923900,15677.2469140625,15676.839192708334,48.99003593227499,0
2022-01-20,15837.240234375,15912.330078125,15737.330078125,15912.330078125,62979800,15678.01931640625,15678.679192708334,52.18090790308453,0
